id,distance,direction,area
346,29,345,1491.78644619000
347,29,315,1491.95272129000
348,29,255,1492.06879036000
349,29,285,1492.07222963000
350,30,105,1543.65005668000
351,30,75,1543.65559389000
352,30,135,1543.72456742000
353,30,45,1543.73587725000
354,30,225,1543.84595568000
355,30,15,1543.92062591000
356,30,195,1544.04253032000
357,30,345,1544.13353683000
358,30,315,1544.31265860000
359,30,165,1544.42950882000
360,30,255,1544.43689287000
