temporal,date,id,mean_lst,distance,direction,area,use,temp_id,date_id,gradient_id,buffer_id,delta_T,delta_T_base,mean_lst_base
day,2022-12-03,296,32.56184428,25,75,1281.94545509,prediction,1,1,1_1_75,1_75_25,-0.11359984999999995,0.10142877999999911,31.7755114
day,2022-12-03,307,31.27148025,26,75,1335.94686661,prediction,1,1,1_1_75,1_75_26,-1.2903640300000028,-0.7680648999999988,31.0074465
day,2022-12-03,318,31.27158741,27,75,1386.70513346,prediction,1,1,1_1_75,1_75_27,0.00010715999999888481,0.07814823000000004,31.08559473
day,2022-12-03,329,31.0652411,28,75,1439.02265301,prediction,1,1,1_1_75,1_75_28,-0.20634630999999715,-0.32912900999999906,30.75646572
day,2022-12-03,340,30.98782616,29,75,1491.33954379,prediction,1,1,1_1_75,1_75_29,-0.0774149400000006,0.6533703099999997,31.40983603
day,2022-12-03,351,28.22227684,30,75,1543.65559389,prediction,1,1,1_1_75,1_75_30,-2.7655493200000016,-2.4468130300000013,28.963023
day,2022-12-03,34,38.28705455,1,105,26.1489802967,prediction,1,1,1_1_105,1_105_1,1.1079845499999976,0.7302314599999988,35.54348646
day,2022-12-03,44,38.66753059,2,105,78.5047576509,prediction,1,1,1_1_105,1_105_2,0.3804760399999978,-0.1331483399999982,35.41033812
day,2022-12-03,58,38.10103484,3,105,130.870643632,prediction,1,1,1_1_105,1_105_3,-0.5664957500000014,-0.8578564899999961,34.55248163
day,2022-12-03,66,38.45543627,4,105,183.242955556,prediction,1,1,1_1_105,1_105_4,0.3544014300000029,0.4311245299999982,34.98360616
day,2022-12-03,78,38.72663083,5,105,235.588284549,prediction,1,1,1_1_105,1_105_5,0.27119455999999786,0.38055278999999587,35.36415895
day,2022-12-03,87,39.34712063,6,105,287.952342449,prediction,1,1,1_1_105,1_105_6,0.6204898000000014,0.7278843100000003,36.09204326
day,2022-12-03,98,38.4499126,7,105,340.2706357,prediction,1,1,1_1_105,1_105_7,-0.8972080300000016,-1.155859189999994,34.93618407
day,2022-12-03,110,37.7519804,8,105,392.677146954,prediction,1,1,1_1_105,1_105_8,-0.6979321999999968,-0.7189413299999998,34.21724274
day,2022-12-03,120,38.25499355,9,105,445.034567252,prediction,1,1,1_1_105,1_105_9,0.503013150000001,0.764347469999997,34.98159021
day,2022-12-03,131,37.64851436,10,105,497.337391364,prediction,1,1,1_1_105,1_105_10,-0.6064791900000017,-0.3086964000000023,34.67289381
day,2022-12-03,148,37.70015156,11,105,547.00681307,prediction,1,1,1_1_105,1_105_11,0.051637200000001826,0.17443370000000158,34.84732751
day,2022-12-03,153,36.7691245,12,105,601.521158094,prediction,1,1,1_1_105,1_105_12,-0.9310270600000052,-1.0322906500000002,33.81503686
day,2022-12-03,164,36.68435466,13,105,653.821981781,prediction,1,1,1_1_105,1_105_13,-0.08476983999999987,-0.2712107400000008,33.54382612
day,2022-12-03,178,36.24588623,14,105,707.099592883,prediction,1,1,1_1_105,1_105_14,-0.43846842999999325,-0.5762079699999987,32.96761815
day,2022-12-03,188,36.33654854,15,105,758.56574345,prediction,1,1,1_1_105,1_105_15,0.09066230999999902,0.011037229999999454,32.97865538
